,,,,,,,,,,,,,
,All Time Bets,,,Average Monthly Results,,,,,,,,,
,Total Bets,2600,,Total Bets,108,,,,,,,,
,Profit,311.36,,Profit,12.97,,,,,,,,
,ROI,10.35%,,ROI,10.35%,,,,,,,,
,Total Staked,3008.88,,Total Staked,125.37,,,,,,,,
,,,,,,,,,,,,,
,24/25 Season Bets,,,25/26 Season Bets,,,,,,,,,
,Total Bets,1191,,Total Bets,1409,,,,,,,,
,Profit,202.31,,Profit,109.05,,,,,,,,
,ROI,17.65%,,ROI,5.85%,,,,,,,,
,Total Staked,1146.15,,Total Staked,1862.73,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,24/25 Season Bets,,,,,,,,,,,,
,,August 2024,September 2024,October 2024,November 2024,December 2024,January 2025,February 2025,March 2025,April 2025,May 2025,June 2025,July 2025
,Total Bets,222,138,128,73,40,80,58,62,101,96,121,72
,Profit,36.33,18.96,6.48,11.48,2.65,6.08,14.95,12.14,13.29,11.72,52.73,15.50
,ROI,21.18%,15.45%,5.12%,15.55%,6.39%,7.97%,23.73%,19.35%,12.19%,11.30%,45.34%,19.62%
,Total Staked,171.50,122.75,126.50,73.85,41.50,76.25,63.00,62.75,109.00,103.75,116.30,79.00
,,,,,,,,,,,,,
,25/26 Season Bets,,,,,,,,,,,,
,,August 2025,September 2025,October 2025,November 2025,December 2025,January 2026,February 2026,March 2026,April 2026,May 2026,June 2026,July 2026
,Total Bets,152,155,108,172,125,197,119,130,136,49,47,19
,Profit,19.23,6.51,-0.92,11.96,20.00,-13.52,11.91,10.26,23.09,7.08,11.30,2.15
,ROI,11.84%,4.03%,-0.78%,6.50%,13.87%,-6.24%,4.82%,3.95%,11.52%,9.79%,16.68%,7.54%
,Total Staked,162.35,161.70,117.60,184.10,144.20,216.80,246.95,259.95,200.50,72.33,67.75,28.50
,,,,,,,,,,,,,
,26/27 Season Bets,,,,,,,,,,,,
,,August 2026,September 2026,October 2026,November 2026,December 2026,January 2027,February 2027,March 2027,April 2027,May 2027,June 2027,July 2027
,Total Bets,,,,,,,,,,,,
,Profit,,,,,,,,,,,,
,ROI,,,,,,,,,,,,
,Total Staked,,,,,,,,,,,,
