,,,,,,,,,,,,
,Total Bets,2600,,,,,,,,,,
,Profit,311.36,,,,,,,,,,
,ROI,10.35%,,,,,,,,,,
,Total Staked,"3,008.88",,,,,,,,,,
,AVG Stake,1.16,,,,,,,,,,
,AVG Odds,2.69,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Date,Fixture,,League,Bet,Unit Stake,Odds,CL,EV%,Bookmaker,Result,Profit
2024,1/8,FC Astana v FC Milsami,,UEFA Conference League Qualifying,Over 9 Asian Corners,1,1.88,1.58,118.99%,Bet365,Win,0.88
,1/8,KF Llapi v Brondby,,UEFA Conference League Qualifying,Under 9 Asian Corners,1,1.75,1.7,102.94%,Bet365,Loss,-1.00
,1/8,Tromso v KuPS Kuopio,,UEFA Conference League Qualifying,Tromso -0.5 AH Corners,1,1.93,1.7,113.53%,Bet365,Loss,-1.00
,1/8,FC Copenhagen v FCB Magpies,,UEFA Conference League Qualifying,Under 10.5 Asian Corners,1,1.95,1.7,114.71%,Bet365,Win,0.95
,1/8,Inter Club d'Escaldes v AEK Athens,,UEFA Conference League Qualifying,Inter Club d'Escaldes +4 AH Corners,1,1.90,1.64,115.85%,Bet365,Win,0.90
,2/8,Morocco Olympic v USA Olympic,,Olympics 2024 Soccer - Men,Under 4.5 Asian Total Cards,1,1.78,N/A,,Bet365,Win,0.78
,3/8,Sol de America v General Caballero JLM,,Paraguay Division Profesional,Under 9 Asian Corners,1,2.00,1.66,120.48%,Bet365,Win,1.00
,3/8,Sol de America v General Caballero JLM,,Paraguay Division Profesional,Under 7.5 Corners,0.5,3.25,2.54,127.95%,Bet365,Win,1.13
,3/8,Sol de America v General Caballero JLM,,Paraguay Division Profesional,Under 6.5 Corners,0.25,4.50,N/A,,Bet365,Loss,-0.25
,3/8,Spain Women v Colombia Women,,Olympics 2024 Soccer - Women,Spain Women -4 AH Corners,1,1.93,1.66,116.27%,Bet365,Win,0.93
,3/8,Everton de Vina v O'Higgins,,Chile Primera Division,Under 10.5 Asian Corners,1,2.03,1.81,112.15%,Bet365,Win,1.03
,3/8,Everton de Vina v O'Higgins,,Chile Primera Division,Under 8.5 Corners,0.5,3.75,N/A,,Bet365,Win,1.38
,3/8,Everton de Vina v O'Higgins,,Chile Primera Division,Under 7.5 Corners,0.25,5.50,N/A,,Bet365,Win,1.13
,3/8,Canada Women v Germany Women,,Olympics 2024 Soccer - Women,Germany Women 0.0 AH Cards,1,2.00,1.83,109.29%,Bet365,Win,1.00
,4/8,SV Darmstadt 98 v Fortuna Dusseldorf,,Germany 2. Bundesliga ,Fortuna Dusseldorf +1 Corner Handicap,1,1.95,1.66,117.47%,William Hill,Loss,-1.00
,4/8,SV Darmstadt 98 v Fortuna Dusseldorf,,Germany 2. Bundesliga ,Fortuna Dusseldorf Most Corners,0.5,2.50,2.07,120.77%,Sky Bet,Loss,-0.50
,4/8,FC Vaduz v Wil 1900,,Switzerland Challenge League,Over 9 Asian Corners,1,1.80,1.60,112.50%,Bet365,Loss,-1.00
,4/8,FC Vaduz v Wil 1900,,Switzerland Challenge League,Over 11.5 Corners,0.5,3.75,N/A,,Bet365,Loss,-0.50
,4/8,FC Vaduz v Wil 1900,,Switzerland Challenge League,Over 12.5 Corners,0.25,5.50,N/A,,Bet365,Loss,-0.25
,4/8,Sporting Cristal v Carlos Mannucci,,Peru Liga 1 - Clasura,Over 12.5 Corners,0.25,4.00,N/A,,Bet365,Loss,-0.25
,4/8,Athletico Paranaense v Gremio,,Brazil Serie A,Under 6 Asian Total Cards,1,2.03,N/A,,Bet365,Win,1.03
,4/8,Guabira v Universitario De Vinto,,Bolivia Division Profesional - Clasura,Under 9.5 Asian Corners,1,1.93,1.68,114.88%,Bet365,Win,0.93
,4/8,Guabira v Universitario De Vinto,,Bolivia Division Profesional - Clasura,Under 7.5 Corners,0.5,3.50,N/A,,Bet365,Win,1.25
,4/8,Guabira v Universitario De Vinto,,Bolivia Division Profesional - Clasura,Under 6.5 Corners,0.25,5.50,N/A,,Bet365,Win,1.13
,5/8,Sao Bernardo v Caxias,,Brazil Serie C,Under 10.5 Asian Corners,1,1.85,1.65,112.12%,Bet365,Win,0.85
,5/8,Sao Bernardo v Caxias,,Brazil Serie C,Under 8.5 Corners,0.5,3.25,N/A,,Bet365,Win,1.13
,5/8,Sao Bernardo v Caxias,,Brazil Serie C,Under 7.5 Corners,0.25,5.00,N/A,,Bet365,Win,1.00
,5/8,Sao Bernardo v Caxias,,Brazil Serie C,Under 6.5 Corners,0.1,8.00,N/A,,Bet365,Win,0.70
,5/8,Orlando City SC v Atletico San Luis,,CONCACAF Leagues Cup,Under 10 Asian Corners,1,1.8,1.62,111.11%,Bet365,Loss,-1.00
,5/8,Orlando City SC v Atletico San Luis,,CONCACAF Leagues Cup,Under 7.5 Corners,0.5,3.75,N/A,,Bet365,Loss,-0.50
,5/8,Orlando City SC v Atletico San Luis,,CONCACAF Leagues Cup,Under 6.5 Corners,0.25,6,N/A,,Bet365,Loss,-0.25
,5/8,OLS v KUPS Akatemia,,Finland Ykkonen,Under 10 Asian Corners,1,1.95,1.78,109.55%,Bet365,Win,0.95
,5/8,OLS v KUPS Akatemia,,Finland Ykkonen,Under 8.5 Corners,0.5,3.5,N/A,,Bet365,Loss,-0.50
,5/8,OLS v KUPS Akatemia,,Finland Ykkonen,Under 7.5 Corners,0.25,5,N/A,,Bet365,Loss,-0.25
,5/8,OLS v KUPS Akatemia,,Finland Ykkonen,Under 6.5 Corners,0.1,9,N/A,,Bet365,Loss,-0.10
,6/8,Estudiantes Rio Cuarto v CA Aldosivi,,Argentina Division 2,Under 9 Asian Corners,1,1.85,1.69,109.47%,Bet365,Win,0.85
,,Estudiantes Rio Cuarto v CA Aldosivi,,Argentina Division 2,Under 6.5 Corners,0.5,4.33,N/A,,Bet365,Loss,-0.50
,,Malmo FF v PAOK Salonika,,UEFA Champions League Qualifying,Malmo FF -0.5 AH Corners,1,1.95,1.78,109.55%,Bet365,Win,0.95
,,Brazil Women v Spain Women,,Olympics 2024 Soccer - Women,Under 2.5 Asian Total Cards,1,2.05,1.85,110.81%,Bet365,Loss,-1.00
,,Fram Reykjavik v Stjarnan,,Iceland Premier League,Stjarnan +0.5 AH Corners,1,1.98,1.69,117.16%,Bet365,Loss,-1.00
,7/8,Paksi v FK Mornar Bay,,UEFA Conference League Qualifying,FK Mornar Bay +4 AH Corners,1,1.88,1.79,105.03%,Bet365,Win,0.88
,,Bragantino v Athletico Paranaense,,Copa do Brasil,Bragantino -3 AH Corners,2,1.8,N/A,,Bet365,Win,1.60
,,Ypiranga RS v Caxias,,Brazil Serie C,Under 11.5 Asian Corners,1,1.9,1.66,114.46%,Bet365,Win,0.90
,,Ypiranga RS v Caxias,,Brazil Serie C,Under 9.5 Corners,0.5,3.25,N/A,,Bet365,Loss,-0.50
,,Ypiranga RS v Caxias,,Brazil Serie C,Under 8.5 Corners,0.25,4.5,N/A,,Bet365,Loss,-0.25
,,Ypiranga RS v Caxias,,Brazil Serie C,Under 7.5 Corners,0.1,8,N/A,,Bet365,Loss,-0.10
,8/8,Palmeiras v Flamengo,,Copa do Brasil,Flamengo +2.5 AH Corners,1,1.88,2.32,81.03%,Bet365,Loss,-1.00
,,Palmeiras v Flamengo,,Copa do Brasil,Under 10.5 Asian Corners,1,2,1.84,108.70%,Bet365,Loss,-1.00
,,KF Ballkani v Larne,,UEFA Conference League Qualifying,Under 9.5 Asian Corners,1,1.9,1.64,115.85%,Bet365,Win,0.90
,,KF Ballkani v Larne,,UEFA Conference League Qualifying,Under 7.5 Corners,0.5,3.5,N/A,,Bet365,Win,1.25
,,KF Ballkani v Larne,,UEFA Conference League Qualifying,Under 6.5 Corners,0.25,5.5,N/A,,Bet365,Win,1.13
,,HNK Rijeka v Elfsborg,,UEFA Europa League Qualifying,Elfsborg +1.5 AH Corners,1,1.88,1.72,109.30%,Bet365,Loss,-1.00
,,UE Santa Coloma v Rigas FS,,UEFA Europa League Qualifying,Under 10 Asian Corners,1,1.93,1.71,112.87%,Bet365,Win,0.93
,9/8,Spain Women v Germany Women,,Olympics 2024 Soccer - Women,Spain Women +0.5 AH Cards,1,1.9,1.70,111.76%,Bet365,Win,0.90
,,Spain Women v Germany Women,,Olympics 2024 Soccer - Women,Under 2.5 Asian Total Cards,1,1.9,N/A,,Bet365,Win,0.90
,,Fjolnir v IBV Vestmannaeyjar,,Iceland 1 Delid,Over 11.5 Asian Corners,1,1.95,1.71,114.04%,Bet365,Win,0.95
,,Preston v Sheff Utd,,England Championship,Under 4.5 Asian Total Cards,1,2.05,1.74,117.82%,Bet365,Win,1.05
,,Double,Spain Women v Germany Women,Olympics 2024 Soccer - Women,Under 2.5 Asian Total Cards,0.25,3.89,N/A,,Bet365,Win,0.72
,,,Preston v Sheff Utd,England Championship,Under 4.5 Asian Total Cards,,,,,,,
,10/8,Yokohama FC v V-Varen Nagasaki,,Japan J2 League,V-Varen Nagasaki +3 AH Corners,1,1.78,N/A,,Bet365,Loss,-1.00
,,Ulsan Hyundai v Daegu FC,,K League 1,Under 4 FH Asian Corners,1,1.95,1.76,110.80%,Bet365,Loss,-1.00
,,Elversberg v 1. FC Koln,,Germany 2. Bundesliga ,1. FC Koln Most Corners,1,1.91,1.62,117.90%,Sky Bet,Win,0.91
,,Milwall v Watford,,England Championship,Under 4 Asian Total Cards,1,1.93,1.74,110.92%,Bet365,Loss,-1.00
,,QPR v West Brom,,England Championship,Under 4 Asian Total Cards,1,1.85,1.66,111.45%,Bet365,Win,0.85
,,Double,Milwall v Watford,England Championship,Under 4 Asian Total Cards,0.25,3.56,2.89,123.18%,Bet365,Loss,-0.25
,,,QPR v West Brom,,Under 4 Asian Total Cards,,,,,,,
,,Shanghai Shenhua v Nantong Zhiyun,,China Super League,Shanghai Shenhua -4 AH Corners,2,1.93,N/A,,Bet365,Win,1.86
,,Leixoes v Benfica B,,Liga Portugal 2,Under 10.5 Asian Corners,1,1.8,1.63,110.43%,Bet365,Loss,-1.00
,,Leixoes v Benfica B,,Liga Portugal 2,Under 8.5 Corners,0.5,3.25,N/A,,Bet365,Loss,-0.50
,,Leixoes v Benfica B,,Liga Portugal 2,Under 7.5 Corners,0.25,4.5,N/A,,Bet365,Loss,-0.25
,,Brazil Women v USA Women,,Olympics 2024 Soccer - Women,Under 3.5 Asian Total Cards,1,1.85,N/A,,Bet365,Win,0.85
